Iteration;Objective;Time (s) 
Iteration;Objective;Time (s) 
1;-7811.09;4.6
2;-7811.09;6.5
3;-7798.98;8.5
4;-7795.57;10.4
5;-7792.68;12.4
6;-7792.68;14.4
7;-7792.68;16.4
8;-7792.68;18.5
9;-7792.68;20.4
10;-7792.68;22.5
Iteration;Objective;Time (s) 
1;-21241.1;52.8
2;-21241.1;77.4
3;-21241.1;101.1
4;-21241.1;125.1
5;-21241.1;149.2
6;-21241.1;173.3
7;-21241.1;197.5
8;-21241.1;221.7
9;-21241.1;246.1
10;-21241.1;271.2
Iteration;Objective;Time (s) 
1;19759.61;34.8
2;19781.06;44.9
3;19781.06;54.9
4;19781.06;64.9
5;19996.01;75.0
6;19996.01;85.2
7;20093.46;95.4
8;20093.46;105.6
9;20093.46;115.6
10;20093.46;125.6
Iteration;Objective;Time (s) 
1;-23496.87;20.4
2;-21313.58;30.6
3;-21313.58;40.8
4;-21272.07;51.1
5;-21272.07;61.1
6;-21272.07;71.4
7;-21272.07;81.4
8;-21272.07;91.5
9;-21272.07;101.7
10;-21272.07;111.8
Iteration;Objective;Time (s) 
1;-36470.4;20.4
2;-36470.4;30.5
3;-36470.4;40.5
4;-36470.4;50.5
5;-36470.4;60.4
6;-36470.4;70.3
7;-36470.4;80.2
8;-36470.4;90.1
9;-36470.4;100.0
10;-36470.4;109.9
Iteration;Objective;Time (s) 
1;-36689.33;20.0
2;-36689.33;29.9
3;-36689.33;39.8
4;-36409.46;49.7
5;-36171.26;59.6
6;-36171.26;69.5
7;-36171.26;79.3
8;-36168.86;89.2
9;-36168.86;99.1
10;-36071.11;108.9
Iteration;Objective;Time (s) 
1;-36428.51;20.0
2;-36297.83;30.0
3;-36297.83;39.9
4;-36130.73;49.9
5;-36125.92;59.8
6;-36125.92;69.7
7;-36106.68;79.8
8;-36106.68;89.7
9;-36106.68;99.7
10;-36106.68;109.6
Iteration;Objective;Time (s) 
1;-36436.91;20.0
2;-36183.34;30.0
3;-36183.34;39.9
4;-36183.34;49.8
5;-36183.34;59.7
6;-36102.22;69.7
7;-36102.22;79.7
8;-36102.22;89.6
9;-36102.22;99.6
10;-36085.07;109.5
Iteration;Objective;Time (s) 
1;-984191.63;19.2
2;-984191.63;28.7
3;-984191.63;38.2
4;-984191.63;47.6
5;-984186.41;57.0
6;-984158.35;66.4
7;-984158.35;75.8
8;-984158.35;85.2
9;-984156.84;94.6
10;-984154.08;104.0
Iteration;Objective;Time (s) 
1;-41332.93;18.9
2;-41332.93;28.2
3;-40620.14;37.7
4;-40620.14;47.0
5;-40479.43;56.4
6;-40187.42;65.8
7;-40187.42;75.1
8;-40187.42;84.4
9;-40187.42;93.7
10;-40187.42;103.1
Iteration;Objective;Time (s) 
1;-31028.81;19.9
2;-30571.68;29.8
3;-30571.68;39.7
4;-30571.68;49.6
5;-30512.13;59.9
6;-30512.13;70.2
7;-30512.13;80.2
8;-30512.13;90.3
9;-30512.13;100.5
10;-30512.13;110.6
Iteration;Objective;Time (s) 
1;-30915.35;20.0
2;-30915.35;30.1
3;-30618.43;40.0
4;-30523.11;50.0
5;-30523.11;59.9
6;-30523.11;69.9
7;-30523.11;79.8
8;-30523.11;89.8
9;-30523.11;99.8
10;-30523.11;109.8
